Unnamed: 0,imgs,masks
0,frames/wetlab_cataract_027_0025.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_027_0025_mask.png
1,frames/wetlab_cataract_018_0011.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_018_0011_mask.png
2,frames/wetlab_cataract_006_0004.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_006_0004_mask.png
3,frames/wetlab_cataract_041_0009.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_041_0009_mask.png
4,frames/wetlab_cataract_032_0025.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_032_0025_mask.png
5,frames/wetlab_cataract_049_0016.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_049_0016_mask.png
6,frames/wetlab_cataract_002_0017.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_002_0017_mask.png
7,frames/wetlab_cataract_006_0001.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_006_0001_mask.png
8,frames/wetlab_cataract_009_0026.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_009_0026_mask.png
9,frames/wetlab_cataract_006_0013.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_006_0013_mask.png
10,frames/wetlab_cataract_041_0035.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_041_0035_mask.png
11,frames/wetlab_cataract_028_0005.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_028_0005_mask.png
12,frames/wetlab_cataract_038_0004.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_038_0004_mask.png
13,frames/wetlab_cataract_002_0009.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_002_0009_mask.png
14,frames/wetlab_cataract_046_0031.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_046_0031_mask.png
15,frames/wetlab_cataract_005_0015.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_005_0015_mask.png
16,frames/wetlab_cataract_026_0042.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_026_0042_mask.png
17,frames/wetlab_cataract_046_0021.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_046_0021_mask.png
18,frames/wetlab_cataract_043_0021.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_043_0021_mask.png
19,frames/wetlab_cataract_046_0018.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_046_0018_mask.png
20,frames/wetlab_cataract_048_0010.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_048_0010_mask.png
21,frames/wetlab_cataract_044_0033.jpg,Segmentation_Masks/AnatomyInst/wetlab_cataract_044_0033_mask.png
