Unnamed: 0,imgs,masks
0,frames/wetlab_cataract_018_0011.jpg,Segmentation_Masks/Iris/wetlab_cataract_018_0011_iris_mask.png
1,frames/wetlab_cataract_006_0004.jpg,Segmentation_Masks/Iris/wetlab_cataract_006_0004_iris_mask.png
2,frames/wetlab_cataract_010_0016.jpg,Segmentation_Masks/Iris/wetlab_cataract_010_0016_iris_mask.png
3,frames/wetlab_cataract_041_0009.jpg,Segmentation_Masks/Iris/wetlab_cataract_041_0009_iris_mask.png
4,frames/wetlab_cataract_032_0025.jpg,Segmentation_Masks/Iris/wetlab_cataract_032_0025_iris_mask.png
5,frames/wetlab_cataract_002_0017.jpg,Segmentation_Masks/Iris/wetlab_cataract_002_0017_iris_mask.png
6,frames/wetlab_cataract_006_0001.jpg,Segmentation_Masks/Iris/wetlab_cataract_006_0001_iris_mask.png
7,frames/wetlab_cataract_009_0026.jpg,Segmentation_Masks/Iris/wetlab_cataract_009_0026_iris_mask.png
8,frames/wetlab_cataract_006_0013.jpg,Segmentation_Masks/Iris/wetlab_cataract_006_0013_iris_mask.png
9,frames/wetlab_cataract_041_0035.jpg,Segmentation_Masks/Iris/wetlab_cataract_041_0035_iris_mask.png
10,frames/wetlab_cataract_010_0046.jpg,Segmentation_Masks/Iris/wetlab_cataract_010_0046_iris_mask.png
11,frames/wetlab_cataract_010_0051.jpg,Segmentation_Masks/Iris/wetlab_cataract_010_0051_iris_mask.png
12,frames/wetlab_cataract_012_0022.jpg,Segmentation_Masks/Iris/wetlab_cataract_012_0022_iris_mask.png
13,frames/wetlab_cataract_034_0006.jpg,Segmentation_Masks/Iris/wetlab_cataract_034_0006_iris_mask.png
14,frames/wetlab_cataract_038_0004.jpg,Segmentation_Masks/Iris/wetlab_cataract_038_0004_iris_mask.png
15,frames/wetlab_cataract_002_0009.jpg,Segmentation_Masks/Iris/wetlab_cataract_002_0009_iris_mask.png
16,frames/wetlab_cataract_011_0008.jpg,Segmentation_Masks/Iris/wetlab_cataract_011_0008_iris_mask.png
17,frames/wetlab_cataract_030_0021.jpg,Segmentation_Masks/Iris/wetlab_cataract_030_0021_iris_mask.png
18,frames/wetlab_cataract_046_0031.jpg,Segmentation_Masks/Iris/wetlab_cataract_046_0031_iris_mask.png
19,frames/wetlab_cataract_012_0042.jpg,Segmentation_Masks/Iris/wetlab_cataract_012_0042_iris_mask.png
20,frames/wetlab_cataract_010_0030.jpg,Segmentation_Masks/Iris/wetlab_cataract_010_0030_iris_mask.png
21,frames/wetlab_cataract_005_0015.jpg,Segmentation_Masks/Iris/wetlab_cataract_005_0015_iris_mask.png
22,frames/wetlab_cataract_046_0021.jpg,Segmentation_Masks/Iris/wetlab_cataract_046_0021_iris_mask.png
23,frames/wetlab_cataract_046_0018.jpg,Segmentation_Masks/Iris/wetlab_cataract_046_0018_iris_mask.png
24,frames/wetlab_cataract_048_0010.jpg,Segmentation_Masks/Iris/wetlab_cataract_048_0010_iris_mask.png
25,frames/wetlab_cataract_035_0006.jpg,Segmentation_Masks/Iris/wetlab_cataract_035_0006_iris_mask.png
26,frames/wetlab_cataract_044_0033.jpg,Segmentation_Masks/Iris/wetlab_cataract_044_0033_iris_mask.png
27,frames/wetlab_cataract_011_0065.jpg,Segmentation_Masks/Iris/wetlab_cataract_011_0065_iris_mask.png
28,frames/wetlab_cataract_008_0006.jpg,Segmentation_Masks/Iris/wetlab_cataract_008_0006_iris_mask.png
29,frames/wetlab_cataract_030_0012.jpg,Segmentation_Masks/Iris/wetlab_cataract_030_0012_iris_mask.png
30,frames/wetlab_cataract_010_0036.jpg,Segmentation_Masks/Iris/wetlab_cataract_010_0036_iris_mask.png
31,frames/wetlab_cataract_044_0047.jpg,Segmentation_Masks/Iris/wetlab_cataract_044_0047_iris_mask.png
32,frames/wetlab_cataract_005_0012.jpg,Segmentation_Masks/Iris/wetlab_cataract_005_0012_iris_mask.png
33,frames/wetlab_cataract_034_0031.jpg,Segmentation_Masks/Iris/wetlab_cataract_034_0031_iris_mask.png
34,frames/wetlab_cataract_031_0009.jpg,Segmentation_Masks/Iris/wetlab_cataract_031_0009_iris_mask.png
35,frames/wetlab_cataract_009_0009.jpg,Segmentation_Masks/Iris/wetlab_cataract_009_0009_iris_mask.png
36,frames/wetlab_cataract_041_0060.jpg,Segmentation_Masks/Iris/wetlab_cataract_041_0060_iris_mask.png
