start,end,phase
0.0,57.8,rhexis
57.8,78.4,idle
78.4,85.3,rhexis
85.3,87.2,idle
87.2,145.1,rhexis
145.1,155.9,idle
155.9,339.5,rhexis
339.5,343.1,idle
343.1,380.3,rhexis
380.3,384.3,idle
384.3,401.9,rhexis
401.9,405.5,idle
405.5,422.5,rhexis
422.5,422.6,idle
422.6,515.6,rhexis
515.6,518.6,idle
518.6,528.8,rhexis
528.8,528.9,idle
528.9,542.1,rhexis
542.1,545.0,idle
545.0,627.2,rhexis
627.2,635.2,idle
635.2,650.9,phacoemulsification
650.9,905.8,idle
905.8,1615.5,phacoemulsification
1615.5,1615.633333,idle
